id,createTime,diggCount,shareCount,playCount,commentCount,hashtag_foryoupage,hashtag_fyp
6905139893425474818,1607728171,3373,27,38500,121,False,False
6888341759622008066,1603817047,1090,7,10100,50,False,True
6888341759622008066,1603817047,1090,7,10100,50,True,False
6892096873453145350,1604691397,5814,35,53600,390,False,True
6881250870374321414,1602166166,10000,18,81900,112,True,False
6881250870374321414,1602166166,10000,18,81900,112,False,True
6881250870374321414,1602166166,10000,18,81900,112,False,False
6900701600440978694,1606694828,2428,78,65200,33,False,True
6882920923314326785,1602554912,3854,46,41600,91,False,False
6882920923314326785,1602554912,3854,46,41600,91,True,False
6882920923314326785,1602554912,3854,46,41600,91,False,True
6892201986381335810,1604715827,3260,66,36600,31,False,False
6892201986381335810,1604715827,3260,66,36600,31,False,True
6892201986381335810,1604715827,3260,66,36600,31,True,False
6902294648451075330,1607065709,168,8,6046,14,False,False
6902294648451075330,1607065709,168,8,6046,14,True,False
6895756274844077314,1605543374,8831,117,103300,238,False,True
6888674709433535745,1603894568,570,0,3637,3,False,True
6892822437671570690,1604860287,426100,6805,1500000,5574,False,True
6892822437671570690,1604860287,426100,6805,1500000,5574,True,False
6904966483730894082,1607687793,2462,5,65700,18,False,False
6904966483730894082,1607687793,2462,5,65700,18,True,False
6880924024227040513,1602089971,36700,489,547700,7568,True,False
6880924024227040513,1602089971,36700,489,547700,7568,False,True
6901216792186785025,1606814750,116200,3338,1600000,4367,False,False
6888809548895849734,1603925999,10200,55,95200,297,True,False
6888809548895849734,1603925999,10200,55,95200,297,False,True
6888809548895849734,1603925999,10200,55,95200,297,False,False
6902725442260749570,1607166009,4193,12,127200,13,False,True
6902725442260749570,1607166009,4193,12,127200,13,False,False
6901833660224326914,1606958377,700,8,35800,68,False,True
6882388794671107330,1602431014,10900,5,76500,163,False,False
6897420741642390789,1605930946,2111,44,97100,37,False,False
6897420741642390789,1605930946,2111,44,97100,37,False,True
6878973704689175809,1601635877,2031,208,110300,59,False,False
6878973704689175809,1601635877,2031,208,110300,59,False,True
6878973704689175809,1601635877,2031,208,110300,59,True,False
6904182931909004545,1607505358,4221,78,37500,77,False,True
6895048600355704070,1605378639,27400,156,75300,475,True,False
6905110082913045762,1607721228,7207,262,54800,119,False,True
6905110082913045762,1607721228,7207,262,54800,119,False,False
6879055195330858245,1601654890,6858,48,78500,169,True,False
6879055195330858245,1601654890,6858,48,78500,169,False,True
6879055195330858245,1601654890,6858,48,78500,169,False,False
6880839179677256962,1602070217,5134,21,70600,12,False,False
6887869748458130690,1603707149,149,62,3378,42,False,False
6887869748458130690,1603707149,149,62,3378,42,True,False
6877774951361875201,1601356771,9254,2,64700,22,False,True
6878710443926473986,1601574582,13800,14,155000,142,False,True
6895491816532069637,1605481831,6239,53,106200,89,False,True
6895491816532069637,1605481831,6239,53,106200,89,False,False
6897270609915661569,1605895958,1882,26,70800,24,False,False
6897270609915661569,1605895958,1882,26,70800,24,True,False
6890591494126718210,1604340855,1620,0,71300,25,False,False
6879407225769692418,1601736814,5479,131,79000,95,False,False
6893869437884091649,1605104060,46100,31,321400,199,False,True
6893869437884091649,1605104060,46100,31,321400,199,True,False
6904396013923060994,1607554971,20500,317,190200,256,False,False
6904396013923060994,1607554971,20500,317,190200,256,False,True
6902459846260559106,1607104171,2029,8,26900,27,False,False
6890655206644747522,1604355690,28400,144,690100,117,False,True
6907670356887211265,1608317338,8042,785,289800,208,False,False
6889105902234864901,1603995012,7226,16,74700,96,True,False
6889105902234864901,1603995012,7226,16,74700,96,False,True
6889105902234864901,1603995012,7226,16,74700,96,False,False
6901387960424484097,1606854603,102800,6206,889700,745,False,True
6907974329305156866,1608388111,31100,1313,294700,880,False,True
6907792796111981829,1608345862,10400,364,54000,126,False,True
6877473712652799234,1601286634,1283,36,59400,116,False,True
6905378711986801922,1607783772,3719,40,45500,80,False,False
6899418795987717377,1606396121,3090,20,36300,89,False,True
6905031739127713026,1607702986,3386,1,60300,36,False,True
6883270499741273349,1602636335,12600,61,53900,215,False,True
6900178346919857410,1606572967,7320,118,29000,424,False,True
6900178346919857410,1606572967,7320,118,29000,424,False,False
6901155395100806401,1606800456,23900,887,105700,171,False,True
6901155395100806401,1606800456,23900,887,105700,171,False,False
6887605177591942405,1603645586,5574,268,117200,538,False,True
6887605177591942405,1603645586,5574,268,117200,538,True,False
6895349449107754245,1605448790,9570,31,71500,83,False,True
6895349449107754245,1605448790,9570,31,71500,83,False,False
6903703219923340550,1607393695,14600,82,114400,92,True,False
6903703219923340550,1607393695,14600,82,114400,92,False,True
6903703219923340550,1607393695,14600,82,114400,92,False,False
6878719985535962369,1601576803,1319,7,25800,14,False,True
6884399255302245633,1602899112,1428,66,24800,22,False,False
6884399255302245633,1602899112,1428,66,24800,22,False,True
6884399255302245633,1602899112,1428,66,24800,22,True,False
6875739742340762885,1600882957,9469,147,209700,304,True,False
6875739742340762885,1600882957,9469,147,209700,304,False,True
6875739742340762885,1600882957,9469,147,209700,304,False,False
6882043160806116609,1602350540,11700,830,73700,157,False,True
6882043160806116609,1602350540,11700,830,73700,157,False,False
6889712383049108737,1604136170,93,2,5377,2,False,False
6889712383049108737,1604136170,93,2,5377,2,True,False
6891701560221404417,1604599312,3142,11,36900,160,False,True
6891701560221404417,1604599312,3142,11,36900,160,True,False
6891701560221404417,1604599312,3142,11,36900,160,False,False
6903574645899939074,1607363730,14400,29,208900,77,False,False
6903574645899939074,1607363730,14400,29,208900,77,False,True
6907365817118166278,1608246447,9021,63,78000,100,False,False
6907365817118166278,1608246447,9021,63,78000,100,False,True
6898194233778261250,1606111006,3919,38,46700,66,False,False
6891693185693797634,1604597362,3860,669,71500,68,False,True
6891693185693797634,1604597362,3860,669,71500,68,False,False
6891693185693797634,1604597362,3860,669,71500,68,True,False
6891747931905330433,1604610109,1885,44,39200,42,False,False
6901995461238934785,1606996048,16400,76,212500,286,True,False
6901995461238934785,1606996048,16400,76,212500,286,False,True
6896895803676200198,1605808735,3257,96,65300,13,False,True
6896895803676200198,1605808735,3257,96,65300,13,True,False
6906077607750618369,1607946496,1371,148,44000,89,False,True
6903157559578987777,1607266619,5320,23,47400,50,False,False
6903157559578987777,1607266619,5320,23,47400,50,False,True
6885726005357530370,1603208019,1515,416,106800,17,False,True
6906514521582570753,1608048223,17000,225,189100,78,False,False
6906514521582570753,1608048223,17000,225,189100,78,False,True
6880928709956635909,1602091100,9881,77,86600,203,True,False
6880928709956635909,1602091100,9881,77,86600,203,False,True
6880928709956635909,1602091100,9881,77,86600,203,False,False
6897535476454952194,1605957626,6667,3,60900,35,False,True
6906416223785864450,1608025337,7961,432,109800,77,False,True
6898022622110436609,1606071049,3440,26,47100,7,False,True
